BuildingType,Neighborhood,CouncilDistrictCode,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFABuilding(s),Total Consumption (kbtu),Total EUI (kbtu/sf),Energy Use,Landmark,Wind Speed (kts),Daytime Temperature (C),Nighttime Temperature (C),Climate Type,Earthquake Risk,Flood Risk,Water Bodies,Commercial,Industrial,Public Utilities,Energy Efficiency Class
Multifamily HR (10+),DOWNTOWN,3.0,47.60932,-122.33388,1910,11,321945,5799116.9988858,18.012756833887156,Electricity,Terrain,5.0,12.0,11.0,2,Fair,No Flood,4.0,168.0,17.0,67.0,3
Multifamily LR (1-4),CENTRAL,3.0,47.6019,-122.31379,2005,4,22852,541401.0955304,23.691628545877823,Electricity,Terrain,4.0,12.5,11.0,1,Fair,No Flood,4.0,192.0,46.0,149.0,1
Multifamily MR (5-9),SOUTHWEST,1.0,47.55728,-122.38725,2003,6,86955,3058624.332699,35.17479538495773,Mixed,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,0
Multifamily HR (10+),MAGNOLIA / QUEEN ANNE,7.0,47.63018,-122.34261,2003,11,194919,5923454.9566314,30.389315339353267,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,3
Multifamily LR (1-4),SOUTHWEST,1.0,47.5822,-122.38542,2002,4,20214,2326897.8629092,115.11318209702188,Electricity,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily LR (1-4),SOUTHWEST,1.0,47.58458,-122.38677,1992,4,21888,757321.9995962,34.59987205757493,Electricity,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily MR (5-9),DOWNTOWN,2.0,47.59696,-122.32412,2002,7,66849,1992994.3750024,29.81337604156233,Electricity,Terrain,5.0,12.0,11.0,2,High,No Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),SOUTHWEST,1.0,47.57775,-122.41425,1926,4,30240,756110.1057104,25.00364106185185,Electricity,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61783,-122.35538,1991,5,59440,2705697.7529794,45.519814148374834,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),SOUTHWEST,1.0,47.59364,-122.38392,1978,4,22445,475956.2196424,21.20544529482736,Electricity,Green,3.7,12.7,10.0,2,Low,No Flood,3.0,199.0,143.0,362.0,1
Multifamily LR (1-4),SOUTHWEST,1.0,47.58898,-122.39418,1989,4,45878,936731.8213064,20.41788703314007,Electricity,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily MR (5-9),SOUTHWEST,1.0,47.5909,-122.39207,1995,5,37824,968634.2077422,25.608983918734136,Electricity,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily LR (1-4),SOUTHWEST,1.0,47.58445,-122.39933,1976,4,38765,1160383.1205936,29.93378358296401,Mixed,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.66091,-122.39778,2002,4,26815,913661.335069,34.07277028040276,Mixed,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily MR (5-9),SOUTHWEST,1.0,47.56511,-122.37268,2007,5,22529,687045.3414098,30.496042496773047,Mixed,Terrain,3.7,12.7,10.0,2,Low,No Flood,3.0,199.0,143.0,362.0,1
Multifamily LR (1-4),SOUTHWEST,1.0,47.57144,-122.3864,1990,3,21991,696390.8034272,31.667082143931605,Electricity,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily HR (10+),DOWNTOWN,7.0,47.61598,-122.35149,2004,13,120405,3963177.6081036,32.91539062417342,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily LR (1-4),LAKE UNION,4.0,47.65439,-122.35832,1988,4,23976,602734.3407904,25.13906993620288,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily MR (5-9),BALLARD,6.0,47.66983,-122.37826,2004,6,169149,4294978.6090238,25.391687855227048,Electricity,Coastal,3.0,13.0,10.0,0,Moderate,Flood,256.0,92.0,76.0,20.0,0
Multifamily MR (5-9),BALLARD,6.0,47.67046,-122.38173,1992,5,25368,835814.9961914,32.947611013536736,Electricity,Coastal,3.0,13.0,10.0,0,Moderate,Flood,256.0,92.0,76.0,20.0,1
Multifamily HR (10+),DOWNTOWN,3.0,47.61531,-122.33018,1928,14,50141,2126435.8596588,42.40912346500469,Natural Gas,Terrain,5.0,12.0,11.0,2,Fair,No Flood,4.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,3.0,47.61783,-122.33134,1993,6,114212,4950239.1037654,43.3425481014727,Mixed,Terrain,5.0,12.0,11.0,2,Fair,No Flood,4.0,168.0,17.0,67.0,0
Multifamily MR (5-9),EAST,3.0,47.6157,-122.32846,1925,5,58954,1756217.1220586,29.7896177029311,Mixed,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),EAST,3.0,47.61628,-122.32818,1916,5,37992,919518.1031708,24.20294017611076,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.64036,-122.39992,2003,5,62876,1217278.1036584,19.35998001874165,Electricity,Green,3.0,12.0,10.0,0,Moderate,No Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),EAST,3.0,47.62637,-122.32698,2006,4,40562,1197041.4295287998,29.51140056034712,Electricity,Coastal,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),EAST,3.0,47.62768,-122.32733,1910,5,40489,2341340.3031078,57.82657766573144,Natural Gas,Coastal,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),EAST,3.0,47.62702,-122.32696,1925,3,28500,863746.1124824,30.30688113973333,Electricity,Coastal,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),EAST,3.0,47.62721,-122.32649,1928,3,24169,820722.3625644,33.95764667815797,Mixed,Coastal,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily HR (10+),DOWNTOWN,7.0,47.61502,-122.35263,2003,13,105707,5265931.8966558,49.81630257840824,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily MR (5-9),DOWNTOWN,7.0,47.61419,-122.34354,1925,9,86560,3598277.0135868,41.56974368746303,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily HR (10+),DOWNTOWN,7.0,47.61498,-122.3438,1978,13,79235,3984610.2447984,50.288511955555,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily MR (5-9),DOWNTOWN,7.0,47.61463,-122.34328,2001,6,95456,3475909.7239248,36.41373746987932,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily MR (5-9),DOWNTOWN,7.0,47.61687,-122.35376,1992,8,135433,3922203.440734,28.960470791712503,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily LR (1-4),DOWNTOWN,7.0,47.61678,-122.35317,1924,3,33400,1752951.136703,52.48356696715569,Natural Gas,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.62563,-122.35596,2000,3,37619,1216028.736336,32.32485542773598,Mixed,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.64675,-122.38242,1993,3,24178,1144034.7296632002,47.31717799913972,Mixed,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),GREATER DUWAMISH,2.0,47.58035,-122.31563,1918,3,107518,4651222.4220156,43.25994179593742,Mixed,Terrain,5.0,13.0,10.0,2,High,No Flood,0.0,190.0,570.0,452.0,0
Multifamily MR (5-9),SOUTHWEST,1.0,47.59429,-122.38843,1997,6,30720,982613.2427838,31.98610816353516,Mixed,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily HR (10+),DOWNTOWN,7.0,47.61706,-122.35141,1982,24,167941,4609081.7840662,27.44464891876433,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily LR (1-4),SOUTHWEST,1.0,47.58998,-122.39312,1986,4,38970,794749.1971888,20.3938721372543,Electricity,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily MR (5-9),BALLARD,6.0,47.67113,-122.38687,1989,5,24648,526722.0623672,21.369768839954563,Electricity,Coastal,3.0,13.0,10.0,0,Moderate,Flood,256.0,92.0,76.0,20.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.63854,-122.38733,1988,4,34270,629536.7130584,18.36990700491392,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),EAST,3.0,47.61564,-122.32592,1986,4,24864,613404.1075736,24.67037112184685,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61453,-122.34969,1990,5,39050,1116947.492052,28.603008759334188,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61492,-122.34957,1980,8,77800,2718930.4954808,34.94769274396915,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily HR (10+),DOWNTOWN,7.0,47.61503,-122.35378,2001,16,409137,13151708.5278812,32.144999176024655,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,2
Multifamily MR (5-9),DOWNTOWN,7.0,47.61612,-122.35268,2001,7,94595,3021287.6040032,31.939189217222896,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily LR (1-4),DOWNTOWN,7.0,47.61543,-122.34967,1903,3,26640,1785322.9729624,67.0166281142042,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61612,-122.34973,2009,7,40329,3692089.203088,91.5492375979568,Natural Gas,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),DOWNTOWN,7.0,47.61532,-122.3493,1987,4,34880,998566.6513816,28.62863106025229,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),DOWNTOWN,7.0,47.6134,-122.34683,1902,4,56776,1673560.7688726,29.47655292504932,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61245,-122.34836,1990,6,77887,2396319.7485472,30.76662021322172,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily LR (1-4),SOUTHWEST,1.0,47.5857,-122.39791,1973,4,26880,1082793.919322,40.282511879538696,Electricity,Coastal,6.0,12.0,11.0,2,Low,Flood,3.0,199.0,143.0,362.0,1
Multifamily LR (1-4),LAKE UNION,4.0,47.661,-122.34839,1987,4,23098,466494.3509856,20.19630924693047,Electricity,Coastal,3.0,14.0,11.0,1,Fair,No Flood,20.0,273.0,58.0,47.0,1
Multifamily MR (5-9),NORTHWEST,5.0,47.72841,-122.3469,1993,5,171306,4908615.5721204,28.654078503499,Electricity,Terrain,2.0,12.0,10.0,0,Lower,No Flood,20.0,302.0,105.0,178.0,0
Multifamily LR (1-4),NORTHWEST,5.0,47.72925,-122.34834,1990,4,43228,1128248.5050312,26.09994691013232,Electricity,Coastal,2.0,12.0,10.0,0,Lower,Drainage Flood,20.0,302.0,105.0,178.0,1
Multifamily MR (5-9),EAST,3.0,47.62127,-122.32509,1967,5,23231,559301.190364,24.07563989341828,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62774,-122.34319,1999,6,172125,4684913.875032,27.218090777237474,Natural Gas,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,0
Multifamily MR (5-9),EAST,3.0,47.61834,-122.32492,1923,6,39251,1053593.7042568,26.84246781627984,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),EAST,3.0,47.61803,-122.32482,1992,5,44715,1792614.5325012,40.08978044283126,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62528,-122.36366,1990,5,21715,496309.4866702,22.855606109610868,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily MR (5-9),LAKE UNION,3.0,47.62406,-122.33027,1994,7,62659,2033473.6411956,32.45301778189246,Electricity,Terrain,3.0,14.0,11.0,1,Fair,No Flood,4.0,273.0,58.0,47.0,1
Multifamily LR (1-4),LAKE UNION,3.0,47.62402,-122.32972,1916,3,56652,1545426.1697914,27.27928704708395,Mixed,Terrain,3.0,14.0,11.0,1,Fair,No Flood,4.0,273.0,58.0,47.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62548,-122.36166,1996,5,20798,635866.2357264,30.57343185529378,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily LR (1-4),EAST,3.0,47.6172,-122.31456,1965,3,19542,605668.7825664,30.993183019465768,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.64791,-122.38246,1988,4,31537,847712.459104,26.879933383137267,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily MR (5-9),EAST,3.0,47.62483,-122.32508,1980,5,48744,1549743.532596,31.793523974150663,Electricity,Coastal,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),LAKE UNION,3.0,47.6237,-122.33014,2010,5,23931,547279.6306568,22.869066510250303,Mixed,Terrain,3.0,14.0,11.0,1,Fair,No Flood,4.0,273.0,58.0,47.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.64898,-122.35675,1999,4,39966,811267.3746744,20.298938464554872,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily MR (5-9),MAGNOLIA / QUEEN ANNE,7.0,47.62181,-122.35701,1999,7,72763,2384501.5915188,32.77079822875362,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,0
Multifamily LR (1-4),GREATER DUWAMISH,2.0,47.58963,-122.31864,1980,4,59600,1502580.9114008,25.21108911746309,Electricity,Terrain,5.0,13.0,10.0,2,High,No Flood,0.0,190.0,570.0,452.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.63113,-122.34656,1978,4,32170,742325.0536464,23.075071608529687,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily MR (5-9),DOWNTOWN,3.0,47.61775,-122.33551,1992,7,47151,2821712.017938,59.84416063154546,Mixed,Terrain,5.0,12.0,11.0,2,Fair,No Flood,4.0,168.0,17.0,67.0,1
Multifamily LR (1-4),EAST,3.0,47.61309,-122.32839,1925,3,21712,1119201.0209542,51.5475783416636,Natural Gas,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily MR (5-9),EAST,3.0,47.61378,-122.32875,1908,5,46413,1849448.0942848,39.8476309285071,Electricity,Terrain,3.0,13.0,11.0,1,Fair,No Flood,4.0,126.0,29.0,130.0,1
Multifamily LR (1-4),NORTHEAST,4.0,47.6657,-122.3017,1984,4,57856,1730549.5038384,29.911323006056413,Electricity,Terrain,3.7,12.3,10.7,1,Fair,No Flood,20.0,315.0,46.0,796.0,1
Multifamily LR (1-4),MAGNOLIA / QUEEN ANNE,7.0,47.64385,-122.34899,1981,3,53698,1167535.9034136,21.74263293630303,Electricity,Coastal,3.0,12.0,10.0,0,Moderate,Flood,0.0,234.0,40.0,141.0,1
Multifamily MR (5-9),DOWNTOWN,3.0,47.60318,-122.33206,1911,6,23338,2460119.17307,105.41259632659182,Natural Gas,Terrain,5.0,12.0,11.0,2,Fair,No Flood,4.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,2.0,47.60274,-122.33245,1900,6,39594,978038.3644512,24.701681175208364,Electricity,Terrain,5.0,12.0,11.0,2,High,No Flood,0.0,168.0,17.0,67.0,1
Multifamily HR (10+),DOWNTOWN,2.0,47.60257,-122.33383,1906,10,65535,2929789.2141016,44.70571777068132,Electricity,Terrain,5.0,12.0,11.0,2,High,No Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),DOWNTOWN,7.0,47.61358,-122.34656,1900,3,23015,1898505.7920904,82.48993230894635,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61396,-122.34609,2000,6,36676,2398860.5435478,65.40682036066637,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),DOWNTOWN,7.0,47.61519,-122.34674,1923,3,33440,2109180.9183364,63.07359205551435,Natural Gas,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61801,-122.34894,1994,6,54102,4014139.9816788,74.1957780059665,Mixed,Terrain,5.0,12.0,11.0,3,Fair,No Flood,0.0,168.0,17.0,67.0,1
Multifamily HR (10+),DOWNTOWN,7.0,47.61678,-122.34698,1990,26,226500,14599483.9199046,64.45688264858543,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,3
Multifamily MR (5-9),DOWNTOWN,7.0,47.61637,-122.34706,2000,7,142497,3717606.7524568,26.089017680770823,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily MR (5-9),DOWNTOWN,7.0,47.61534,-122.34515,2008,7,143183,6541816.4728198,45.68849984159991,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily LR (1-4),DOWNTOWN,7.0,47.61558,-122.34496,1918,3,21284,864536.4400285999,40.61907724246382,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61399,-122.34724,1908,5,48786,1169507.0138766,23.972184927573483,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,3.0,47.61458,-122.33527,2002,6,60476,2045099.2014518,33.81670747820292,Mixed,Terrain,5.0,12.0,11.0,2,Fair,No Flood,4.0,168.0,17.0,67.0,1
Multifamily HR (10+),DOWNTOWN,7.0,47.61487,-122.33748,2001,31,538339,21152153.8850202,39.291513126524734,Mixed,Terrain,5.0,12.0,11.0,3,Fair,No Flood,0.0,168.0,17.0,67.0,2
Multifamily MR (5-9),DOWNTOWN,7.0,47.61792,-122.35484,1991,6,25129,1320146.2932176,52.53477230361733,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61838,-122.35571,2002,6,41359,3346880.7320856,80.92267056953989,Natural Gas,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),DOWNTOWN,7.0,47.61819,-122.35432,1910,4,21095,767515.1914434,36.38374929809908,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily MR (5-9),DOWNTOWN,7.0,47.61723,-122.35248,1989,5,129092,3892143.6373706,30.15015366847365,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,0
Multifamily HR (10+),DOWNTOWN,7.0,47.6144,-122.34171,2018,40,442703,15492141.902244002,34.994436229806446,Mixed,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,2
Multifamily MR (5-9),DOWNTOWN,7.0,47.61496,-122.34188,1991,6,31054,962213.6947752,30.98517726461004,Electricity,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
Multifamily LR (1-4),DOWNTOWN,7.0,47.61536,-122.34348,1922,3,34060,1385934.5686884,40.6909738311333,Natural Gas,Coastal,5.0,12.0,11.0,3,Fair,Flood,0.0,168.0,17.0,67.0,1
